Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
11,0.367,1215.46,871.83,0.99,1237.14,853.17,1.0,1197.34,853.08,0.99,1267.76,856.21,0.96,1175.72,857.55,0.85,1306.4,948.99,1.0,1150.27,955.11,1.0,1361.67,1074.23,1.0,1112.81,1087.59,0.99,1405.72,1182.62,0.99,1054.03,1187.09,0.99,1287.42,1154.37,1.0,1184.83,1154.71,1.0,1398.89,1215.41,1.0,1065.31,1198.26,1.0,1232.77,1245.16,0.98,1263.47,1256.41,0.98
12,0.4,1215.21,872.15,0.99,1236.5,853.29,1.0,1197.33,853.51,0.99,1266.89,856.01,0.96,1176.15,858.04,0.84,1305.85,947.55,1.0,1150.38,955.43,1.0,1359.86,1073.33,1.0,1112.44,1087.66,0.99,1405.45,1181.52,0.99,1053.11,1185.96,0.99,1286.76,1153.46,1.0,1184.93,1154.86,1.0,1389.3,1211.63,0.99,1064.55,1200.42,0.99,1228.05,1247.08,0.98,1266.71,1255.83,0.98
13,0.433,1215.14,871.79,0.99,1236.58,852.73,1.0,1196.86,853.14,0.99,1267.44,855.74,0.96,1175.52,858.19,0.84,1305.44,948.13,1.0,1150.66,955.92,1.0,1360.15,1072.37,1.0,1112.41,1087.33,0.99,1405.29,1181.76,0.99,1052.7,1185.87,0.99,1286.39,1153.0,1.0,1184.65,1154.33,1.0,1394.28,1213.44,1.0,1066.46,1200.1,1.0,1234.69,1244.99,0.98,1268.25,1254.61,0.98
14,0.467,1214.9,870.66,0.99,1236.44,851.89,1.0,1196.6,852.1,0.99,1267.34,855.5,0.96,1175.05,857.45,0.85,1305.52,948.11,1.0,1150.49,954.47,1.0,1360.01,1074.35,1.0,1113.44,1085.9,0.99,1405.73,1182.54,0.99,1054.13,1185.76,0.99,1286.55,1153.59,1.0,1184.82,1154.21,1.0,1397.31,1210.7,1.0,1064.26,1196.49,1.0,1228.59,1247.77,0.98,1265.71,1257.29,0.98
15,0.5,1214.33,871.56,0.99,1235.79,852.76,1.0,1196.26,852.94,0.99,1266.54,856.0,0.96,1174.76,857.91,0.85,1305.14,947.16,1.0,1149.74,955.76,1.0,1359.75,1072.52,1.0,1111.93,1087.07,0.99,1405.58,1181.67,0.99,1052.93,1186.44,0.99,1286.16,1152.34,1.0,1184.62,1154.21,1.0,1391.58,1206.36,1.0,1065.32,1198.21,1.0,1225.12,1250.95,0.99,1265.23,1257.93,0.99
16,0.533,1214.07,871.74,0.99,1235.59,852.85,1.0,1195.82,853.03,0.99,1266.18,855.96,0.96,1174.31,857.94,0.85,1305.17,948.28,1.0,1149.62,955.31,1.0,1359.69,1074.01,1.0,1113.09,1086.75,0.99,1406.31,1182.14,0.99,1053.72,1185.35,0.99,1286.73,1153.78,1.0,1185.09,1154.68,1.0,1392.68,1212.21,1.0,1065.76,1198.2,1.0,1226.44,1247.01,0.98,1268.59,1256.74,0.98
17,0.567,1213.87,871.33,0.99,1235.36,852.54,1.0,1195.38,852.95,0.99,1266.32,855.79,0.96,1173.95,858.35,0.85,1305.36,948.91,1.0,1149.78,955.69,1.0,1360.45,1075.76,1.0,1113.73,1087.77,0.99,1406.34,1183.79,0.99,1053.6,1187.1,0.99,1287.15,1154.38,1.0,1185.49,1155.0,1.0,1397.07,1214.54,1.0,1067.09,1197.64,1.0,1225.54,1246.27,0.98,1269.16,1257.14,0.98
18,0.6,1213.68,871.96,0.99,1235.13,853.02,1.0,1195.38,853.39,0.99,1266.1,856.16,0.96,1174.01,858.6,0.85,1305.38,948.21,1.0,1149.67,955.87,1.0,1360.55,1074.67,1.0,1112.62,1087.18,0.99,1406.35,1182.05,0.99,1053.53,1186.02,0.99,1286.52,1152.97,1.0,1184.93,1154.17,1.0,1394.72,1210.2,1.0,1064.35,1198.07,1.0,1220.85,1249.89,0.99,1269.7,1259.03,0.99
19,0.633,1214.02,870.86,0.99,1235.31,852.2,1.0,1195.6,852.59,0.99,1265.71,855.6,0.96,1174.33,858.12,0.86,1305.69,949.09,1.0,1149.57,954.98,1.0,1360.7,1074.96,1.0,1113.23,1086.72,0.99,1405.85,1182.13,0.99,1054.62,1186.28,0.99,1287.15,1153.76,1.0,1184.51,1153.91,1.0,1398.03,1218.31,0.99,1065.48,1199.31,1.0,1231.05,1242.06,0.98,1263.96,1254.9,0.98
20,0.667,1213.8,871.94,0.99,1235.04,852.79,1.0,1195.38,853.54,0.99,1265.9,855.1,0.96,1173.9,858.38,0.85,1305.38,948.52,1.0,1149.75,955.95,1.0,1360.27,1074.84,1.0,1112.6,1086.77,0.99,1406.21,1182.85,0.99,1053.95,1186.55,0.99,1286.69,1153.06,1.0,1184.78,1154.11,1.0,1394.39,1211.25,1.0,1065.56,1196.91,1.0,1229.43,1248.44,0.99,1265.21,1258.1,0.99
