Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
11,0.367,1427.98,1078.3,0.99,1449.25,1060.22,0.99,1411.54,1058.8,0.99,1477.24,1068.25,0.91,1387.76,1065.09,0.81,1510.88,1161.7,1.0,1351.92,1169.03,1.0,1554.86,1296.26,0.99,1311.43,1311.44,0.98,1609.69,1398.26,0.99,1279.32,1421.52,0.98,1486.11,1392.09,1.0,1374.34,1395.56,1.0,1624.76,1463.27,0.99,1286.52,1475.89,0.99,1440.88,1509.95,0.95,1431.83,1484.92,0.94
12,0.4,1426.6,1079.1,0.99,1448.21,1061.06,0.99,1410.31,1059.45,0.99,1477.02,1069.31,0.92,1387.22,1065.75,0.79,1510.77,1162.31,1.0,1351.71,1169.64,1.0,1553.94,1297.29,0.99,1311.24,1312.98,0.98,1610.6,1399.15,0.99,1278.9,1421.74,0.98,1485.56,1392.34,1.0,1374.2,1395.97,1.0,1625.73,1460.66,0.99,1288.97,1474.02,0.99,1438.89,1508.65,0.96,1439.3,1484.92,0.96
13,0.433,1426.5,1078.83,0.99,1447.8,1060.86,0.99,1410.25,1059.49,0.99,1476.41,1068.98,0.92,1387.29,1065.96,0.8,1510.68,1162.2,1.0,1352.14,1169.13,1.0,1554.0,1297.54,0.99,1311.76,1312.07,0.98,1610.38,1398.64,0.99,1278.52,1421.7,0.98,1484.64,1392.18,1.0,1373.39,1395.47,1.0,1624.3,1460.55,0.99,1288.06,1472.44,0.99,1440.44,1507.29,0.96,1434.85,1484.04,0.95
14,0.467,1426.74,1078.9,0.99,1447.85,1060.68,0.99,1410.25,1059.62,0.99,1476.41,1068.54,0.92,1387.19,1066.32,0.79,1510.62,1162.07,1.0,1352.74,1169.9,1.0,1553.31,1297.79,0.99,1311.27,1313.6,0.98,1610.4,1398.94,0.99,1277.99,1422.26,0.97,1484.04,1391.98,1.0,1373.35,1395.6,1.0,1625.58,1460.63,0.99,1290.64,1473.03,0.99,1439.02,1507.81,0.96,1437.7,1483.9,0.95
15,0.5,1426.74,1078.57,0.99,1447.99,1060.2,0.99,1410.27,1059.23,0.99,1476.85,1068.27,0.93,1387.57,1066.13,0.78,1511.53,1161.81,1.0,1353.13,1169.55,1.0,1553.51,1296.47,0.99,1311.33,1311.81,0.98,1610.15,1398.6,0.99,1278.66,1420.6,0.98,1484.91,1390.76,1.0,1373.66,1394.15,1.0,1623.84,1464.19,0.99,1292.54,1476.38,0.99,1438.73,1508.1,0.96,1428.09,1480.5,0.95
16,0.533,1426.84,1078.61,0.99,1448.13,1060.3,0.99,1410.31,1059.19,0.99,1476.75,1068.54,0.92,1387.29,1066.18,0.79,1510.92,1162.34,1.0,1352.61,1169.75,1.0,1553.94,1297.43,0.99,1311.54,1312.99,0.98,1610.5,1398.74,0.99,1278.22,1420.6,0.98,1485.6,1391.94,1.0,1374.75,1395.05,1.0,1623.97,1462.99,0.99,1289.72,1472.7,0.99,1437.4,1507.93,0.96,1437.39,1481.46,0.95
17,0.567,1426.85,1078.38,0.99,1448.16,1060.16,0.99,1410.13,1059.02,0.99,1476.66,1068.78,0.92,1386.66,1066.36,0.81,1510.41,1162.22,1.0,1352.1,1170.48,1.0,1553.41,1296.01,0.99,1311.66,1312.68,0.98,1610.02,1398.63,0.99,1279.44,1420.8,0.98,1484.61,1392.39,1.0,1373.53,1396.18,1.0,1624.78,1461.55,0.99,1289.54,1474.27,0.99,1439.0,1509.38,0.96,1436.99,1483.23,0.95
18,0.6,1427.23,1078.16,0.99,1448.37,1060.01,0.99,1410.62,1058.93,0.99,1476.86,1068.03,0.92,1387.32,1065.83,0.8,1510.67,1161.66,1.0,1352.67,1169.63,1.0,1553.54,1296.07,0.99,1312.13,1312.24,0.98,1609.93,1398.54,0.99,1279.8,1421.17,0.98,1484.75,1391.61,1.0,1374.18,1395.4,1.0,1624.52,1460.37,0.99,1289.72,1472.51,0.99,1437.9,1508.95,0.96,1442.64,1487.04,0.96
19,0.633,1427.31,1078.3,0.99,1448.32,1060.08,0.99,1410.62,1059.09,0.99,1476.55,1068.09,0.91,1387.11,1066.04,0.81,1510.65,1161.82,1.0,1352.55,1169.8,1.0,1553.36,1296.34,0.99,1311.48,1312.29,0.98,1609.98,1398.73,0.99,1279.68,1421.27,0.98,1484.39,1391.07,1.0,1373.57,1394.81,1.0,1625.49,1460.32,0.99,1291.37,1472.44,0.99,1438.92,1508.54,0.96,1439.13,1484.82,0.96
20,0.667,1427.21,1078.35,0.99,1448.12,1060.34,0.99,1410.61,1059.23,0.99,1475.95,1068.74,0.91,1387.02,1066.42,0.82,1510.36,1162.09,1.0,1352.15,1169.82,1.0,1553.3,1296.44,0.99,1311.95,1312.19,0.98,1610.15,1398.33,0.99,1279.27,1420.83,0.97,1485.24,1392.12,1.0,1374.6,1395.7,1.0,1624.44,1461.14,0.99,1290.79,1472.29,0.99,1437.47,1508.49,0.96,1441.77,1484.81,0.96
21,0.7,1426.99,1078.4,0.99,1448.03,1060.15,0.99,1410.4,1059.08,0.99,1476.04,1068.28,0.91,1386.9,1066.01,0.81,1510.84,1161.9,1.0,1352.05,1170.04,1.0,1553.97,1297.02,0.99,1311.54,1312.84,0.98,1610.0,1397.96,0.99,1279.21,1421.17,0.97,1486.02,1391.28,1.0,1374.61,1394.97,1.0,1623.08,1462.5,0.99,1290.17,1475.01,0.99,1440.82,1509.1,0.96,1432.78,1482.77,0.95
22,0.733,1427.17,1078.42,0.99,1448.17,1060.24,0.99,1410.55,1059.12,0.99,1476.12,1068.21,0.91,1386.93,1065.91,0.81,1510.67,1161.56,1.0,1352.28,1169.5,1.0,1554.18,1296.27,0.99,1311.69,1312.36,0.98,1609.7,1398.06,0.99,1279.61,1420.96,0.97,1485.64,1391.68,1.0,1374.66,1395.28,1.0,1624.79,1462.19,0.99,1289.2,1473.8,0.99,1438.47,1509.0,0.96,1438.12,1485.19,0.96
23,0.767,1427.26,1078.59,0.99,1448.41,1060.23,0.99,1410.52,1059.24,0.99,1476.66,1068.05,0.91,1386.93,1065.94,0.81,1510.82,1161.62,1.0,1352.45,1169.78,1.0,1553.67,1296.71,0.99,1311.3,1313.21,0.98,1609.72,1397.62,0.99,1278.68,1421.56,0.98,1485.2,1391.41,1.0,1373.99,1394.96,1.0,1623.62,1463.09,0.99,1288.77,1474.93,0.99,1438.92,1509.29,0.95,1431.91,1482.65,0.95
