Leg_Stability_StdDev,Core_Stability_StdDev,Leg_Fatigue_Slope,Avg_Leg_Angle,Avg_Core_Angle,Source_File,Person_ID,Level
6.766992402154221,10.014050859696772,-0.005226902082314616,160.85538585468112,150.4652085646585,norm_필라테스_가산_A_Mat_Hundred_고급_actorP082_20221006_15.51.54_CAM_1.csv,actorP082,고급
3.544440705961403,24.220741830009302,0.005119420819687116,171.6000571661509,151.2299408000967,norm_필라테스_가산_C_Mat_Hundred_고급_actorP079_20221028_14.16.15_CAM_1.csv,actorP079,고급
2.8656525495698726,13.6844298669381,0.013707204585424392,170.70505009546326,157.38108789764345,norm_필라테스_가산_A_Mat_Hundred_고급_actorP075_20220930_11.14.40_CAM_1.csv,actorP075,고급
5.580565735768155,13.677077399713637,0.03481553593978877,163.53486462201082,146.37849133882915,norm_필라테스_가산_A_Mat_Hundred_고급_actorP075_20220930_11.15.35_CAM_1.csv,actorP075,고급
4.569868891801904,9.906763824372304,0.029748134261773324,165.2438201393888,149.92354178279203,norm_필라테스_가산_A_Mat_Hundred_고급_actorP075_20220930_11.17.02_CAM_1.csv,actorP075,고급
1.44310983910599,2.5008844570285027,-0.0026266481067720795,173.0896966095869,158.86958433179663,norm_필라테스_가산_A_Mat_Hundred_고급_actorP076_20220929_15.26.04_CAM_1.csv,actorP076,고급
2.942040201589363,23.490680787027472,-0.016201260559985498,174.2155303641652,157.71352354747103,norm_필라테스_가산_A_Mat_Hundred_고급_actorP077_20220929_11.10.42_CAM_1.csv,actorP077,고급
1.750321089152105,22.621166244828654,-0.003934339961147314,173.87823906753002,158.12155848440608,norm_필라테스_가산_A_Mat_Hundred_고급_actorP077_20220929_11.11.30_CAM_1.csv,actorP077,고급
2.808929599644738,25.498606412379374,-0.02171192420274925,176.16966120603018,157.7254120445511,norm_필라테스_가산_A_Mat_Hundred_고급_actorP077_20220929_11.12.19_CAM_1.csv,actorP077,고급
4.407258904253196,5.212121358864891,0.031486291220650754,164.53430631638383,155.45217000861933,norm_필라테스_가산_A_Mat_Hundred_고급_actorP079_20220928_12.01.17_CAM_1.csv,actorP079,고급
4.853698665701412,15.77771996774842,-0.024452709725363276,165.42525059759652,149.82387806550094,norm_필라테스_가산_A_Mat_Hundred_고급_actorP079_20220928_12.02.15_CAM_1.csv,actorP079,고급
4.169544843194891,5.519609345466654,0.014283734984078133,165.53474510241523,154.64230115159782,norm_필라테스_가산_A_Mat_Hundred_고급_actorP079_20220928_12.03.10_CAM_1.csv,actorP079,고급
6.414494664787129,12.217638043891512,-0.05288576103014176,162.52163501647374,147.0463399556746,norm_필라테스_가산_A_Mat_Hundred_고급_actorP082_20221006_15.50.10_CAM_1.csv,actorP082,고급
6.668825673369179,13.389300549056426,-0.03602326944002507,159.99843648662375,147.12721307095194,norm_필라테스_가산_A_Mat_Hundred_고급_actorP082_20221006_15.51.01_CAM_1.csv,actorP082,고급
6.66828261792671,12.17084028587275,-0.03243169312966812,159.8163712075865,142.30239829510464,norm_필라테스_가산_A_Mat_Hundred_고급_actorP082_20221006_15.52.49_CAM_1.csv,actorP082,고급
7.2227462548785635,9.983253464807786,-0.019327830396429997,159.01753470827157,144.89392126044237,norm_필라테스_가산_A_Mat_Hundred_고급_actorP082_20221006_15.53.42_CAM_1.csv,actorP082,고급
4.209210489776513,16.806872534250758,0.0374171606753609,166.0985964661733,149.45926794795074,norm_필라테스_가산_A_Mat_Hundred_고급_actorP091_20221011_11.35.27_CAM_1.csv,actorP091,고급
5.2498533681225465,18.180302944840154,0.03874090513700934,165.4725602600339,149.00879664261902,norm_필라테스_가산_A_Mat_Hundred_고급_actorP091_20221011_11.36.16_CAM_1.csv,actorP091,고급
3.941620510620172,14.619225389503317,0.03470556415829046,167.34002010662877,153.894722719552,norm_필라테스_가산_A_Mat_Hundred_고급_actorP091_20221011_11.37.05_CAM_1.csv,actorP091,고급
4.738695904191957,10.623465332241175,0.05531942236206209,167.39565208883604,155.895351118714,norm_필라테스_가산_A_Mat_Hundred_고급_actorP091_20221011_11.37.52_CAM_1.csv,actorP091,고급
3.578095648495632,19.275180615139412,0.02850053975695636,168.03576740000997,151.88409465253585,norm_필라테스_가산_A_Mat_Hundred_고급_actorP091_20221011_11.38.46_CAM_1.csv,actorP091,고급
3.6020132290680915,11.597714767573075,0.031479974767919416,168.05211608117486,155.8485795230162,norm_필라테스_가산_A_Mat_Hundred_고급_actorP091_20221011_11.39.39_CAM_1.csv,actorP091,고급
0.5800161103501598,4.379638578125136,0.0033793699227005094,178.96295725911492,156.4264505030859,norm_필라테스_가산_A_Mat_Hundred_고급_actorP092_20221005_11.17.31_CAM_1.csv,actorP092,고급
0.4265546013907065,36.2622685070495,0.0005216032743856621,10.71507994260324,131.28196681227692,norm_필라테스_가산_A_Mat_Hundred_고급_actorP086_20221012_15.37.57_CAM_1.csv,actorP086,고급
1.5929852119795678,30.581783072234746,0.010795825515601208,12.012215262405844,148.30988617825895,norm_필라테스_가산_A_Mat_Hundred_고급_actorP086_20221012_15.38.54_CAM_1.csv,actorP086,고급
3.59988521508645,8.93427972417088,0.01966769113398379,17.768386446542085,153.9636529751692,norm_필라테스_가산_A_Mat_Hundred_고급_actorP086_20221012_15.39.44_CAM_1.csv,actorP086,고급
0.7198268997584893,3.789176182363341,0.004887977676915541,10.884161641943841,156.40582985454705,norm_필라테스_가산_A_Mat_Hundred_고급_actorP086_20221012_15.40.59_CAM_1.csv,actorP086,고급
