Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf,norm_Nose_x,norm_Nose_y,norm_Left_Eye_x,norm_Left_Eye_y,norm_Right_Eye_x,norm_Right_Eye_y,norm_Left_Ear_x,norm_Left_Ear_y,norm_Right_Ear_x,norm_Right_Ear_y,norm_Left_Shoulder_x,norm_Left_Shoulder_y,norm_Right_Shoulder_x,norm_Right_Shoulder_y,norm_Left_Elbow_x,norm_Left_Elbow_y,norm_Right_Elbow_x,norm_Right_Elbow_y,norm_Left_Wrist_x,norm_Left_Wrist_y,norm_Right_Wrist_x,norm_Right_Wrist_y,norm_Left_Hip_x,norm_Left_Hip_y,norm_Right_Hip_x,norm_Right_Hip_y,norm_Left_Knee_x,norm_Left_Knee_y,norm_Right_Knee_x,norm_Right_Knee_y,norm_Left_Ankle_x,norm_Left_Ankle_y,norm_Right_Ankle_x,norm_Right_Ankle_y
10,0.333,1292.79,852.27,1.0,1310.84,835.82,1.0,1280.55,836.7,0.97,1360.31,839.94,0.99,1275.29,845.55,0.1,1404.82,924.94,1.0,1258.99,931.59,1.0,1479.45,999.63,0.99,1189.46,1004.17,1.0,1451.7,1088.8,0.99,1220.36,1089.25,1.0,1382.23,1125.71,1.0,1282.82,1125.67,1.0,1509.78,1196.16,1.0,1143.66,1180.31,1.0,1287.84,1222.92,0.99,1335.8,1241.21,0.99,-0.201265311190623,-1.384924157184849,-0.10983863780467297,-1.4682465271127645,-0.26326323264458595,-1.4637891602108457,0.1407362947384274,-1.447377945708326,-0.28990613026287393,-1.4189622317085935,0.36618788656162105,-1.0168368245002501,-0.37246872174159884,-0.9831533132527949,0.7442029909823124,-0.6385178086998834,-0.7246513588898049,-0.615521847637711,0.6036439778820286,-0.18685484660430549,-0.5681369983565168,-0.18457551125673308,0.25176525211349865,0.00010130379322533751,-0.2517652521134998,-0.00010130379322533751,0.897830193408676,0.3569439154298015,-0.9566370453760386,0.2766606592986478,-0.22633800001391707,0.49248839076542633,0.016588496140663413,0.5851307096700815
11,0.367,1292.53,851.62,1.0,1310.44,835.29,1.0,1280.37,836.17,0.97,1359.79,839.27,0.99,1275.26,844.98,0.1,1404.97,924.5,1.0,1259.05,931.5,1.0,1479.85,1000.52,0.99,1189.14,1005.05,1.0,1446.02,1090.1,0.99,1223.11,1092.24,1.0,1382.74,1126.42,1.0,1283.59,1126.56,1.0,1510.82,1194.75,1.0,1145.23,1178.9,1.0,1285.11,1222.18,0.99,1340.61,1242.15,0.99,-0.20471717500787984,-1.3847818357183694,-0.1144874566766101,-1.4670515900650825,-0.2659786699776309,-1.462618192402798,0.1341354690435536,-1.4470005415470226,-0.2917226041302148,-1.4182338362610623,0.36175013538675593,-1.017615902050982,-0.3733878042502527,-0.9823502388282638,0.7389919728320622,-0.6346307994522612,-0.7255910208074289,-0.6118088773952736,0.5685580604285538,-0.1833310692392462,-0.5544517951394667,-0.1725498521968718,0.24975646489518036,-0.0003526566322268625,-0.24975646489518036,0.0003526566322268625,0.8950173428331462,0.34389059594039323,-0.9468074882516523,0.26403905850038145,-0.24209877802396162,0.48208161625455975,0.0375075518133051,0.5826895154770864
12,0.4,1292.99,850.26,1.0,1310.86,833.96,1.0,1281.37,834.72,0.97,1360.56,838.26,0.99,1276.7,843.71,0.1,1406.51,924.98,1.0,1259.81,932.49,1.0,1478.23,1003.04,0.99,1188.8,1006.59,1.0,1441.12,1092.56,0.99,1222.62,1089.97,1.0,1382.34,1129.44,1.0,1283.11,1129.81,1.0,1507.73,1189.24,1.0,1146.68,1177.41,1.0,1282.55,1224.82,0.99,1345.25,1240.04,0.99,-0.19779434937307708,-1.390633406634197,-0.10884040390190873,-1.4717721481663766,-0.2556368141954046,-1.4679889921194775,0.1385580902176827,-1.4503674494799736,-0.27888331253621856,-1.4232382383541833,0.36728969594796895,-1.0186894331811616,-0.36295897784164954,-0.9813058780335132,0.7243001586895602,-0.6301194844693855,-0.7164351763815322,-0.612448163460843,0.5395726311889957,-0.18450352483989257,-0.5480847322945189,-0.19739612242077229,0.24697537798276697,-0.0009208998272054501,-0.24697537798276697,0.0009208998272054501,0.8711463473520943,0.2967537470209141,-0.9261016667702073,0.23786593644878642,-0.24976296664890296,0.4738651840586412,0.06234740722027972,0.5496278617347012
13,0.433,1292.45,850.14,1.0,1310.67,833.94,1.0,1280.69,834.5,0.97,1360.82,839.07,0.99,1275.88,843.92,0.1,1406.3,926.01,1.0,1259.63,933.16,1.0,1478.18,1002.67,0.99,1188.31,1007.32,1.0,1439.68,1090.83,0.99,1225.7,1089.18,1.0,1382.32,1130.1,1.0,1282.6,1130.27,1.0,1509.5,1190.8,1.0,1145.39,1178.04,1.0,1286.19,1223.51,0.99,1340.26,1240.46,0.99,-0.19945101305115048,-1.3960324656313283,-0.10862378341376064,-1.4767899365493145,-0.2580749549027258,-1.4739983202706683,0.14137542439716594,-1.4512167374252853,-0.2820529447246709,-1.42703934644058,0.3680945464558095,-1.017818310165425,-0.363059667096108,-0.9821753523219928,0.7264184359363575,-0.6356659817350027,-0.7185919402980098,-0.6124855965640987,0.5344948167794144,-0.1961858190109481,-0.5322017034076688,-0.2044111169748164,0.24855354938091342,-0.00042372747086615975,-0.24855354938091456,0.00042372747086615975,0.8825495463777977,0.30216753701813276,-0.932549387939983,0.23855856609754594,-0.2306572950231625,0.4652278378654995,0.038883226738289554,0.5497240805852448
14,0.467,1293.34,850.69,1.0,1311.33,834.42,1.0,1281.35,835.34,0.97,1361.36,839.49,0.99,1276.44,845.16,0.1,1406.13,927.11,1.0,1259.29,934.58,1.0,1477.96,1005.3,0.99,1188.21,1010.0,1.0,1436.22,1092.37,0.99,1227.96,1088.59,1.0,1383.17,1129.68,1.0,1283.47,1130.12,1.0,1508.58,1191.95,1.0,1147.19,1178.43,1.0,1284.48,1224.68,0.99,1342.61,1241.97,0.99,-0.20084806849624612,-1.4026710656537404,-0.11047146138650506,-1.4844068854244739,-0.26108239419084284,-1.479785068940818,0.1408649284801064,-1.4589366576286766,-0.28574882781556854,-1.4304522016913654,0.3657765849727759,-1.018758874696186,-0.3719055155271898,-0.9812317343343312,0.7266299306477447,-0.625954710721164,-0.7289910760252656,-0.6023432569459675,0.5169401262697241,-0.18853997025172864,-0.5292984616499347,-0.2075296075432694,0.25043212142415683,-0.0011052169852220949,-0.25043212142415794,0.0011052169852209526,0.8804560401363639,0.31172142696828375,-0.9350638066334688,0.24380081951282537,-0.24535817071927538,0.47614757208789604,0.04667029905778044,0.5630075796992033
15,0.5,1294.01,851.37,1.0,1312.26,834.95,1.0,1281.99,835.59,0.97,1361.53,839.03,0.99,1276.34,844.1,0.11,1406.85,927.33,1.0,1258.94,934.7,1.0,1477.61,1008.75,0.99,1189.05,1014.34,1.0,1433.58,1093.03,0.99,1230.81,1091.97,1.0,1383.16,1130.04,1.0,1282.87,1130.21,1.0,1508.88,1191.95,1.0,1147.84,1177.36,1.0,1287.73,1225.09,0.99,1341.31,1241.47,0.99,-0.19589670491786568,-1.4000047680907528,-0.10423884400898069,-1.4824717311660345,-0.2562653344041559,-1.4792574280985449,0.14321226870229398,-1.4619805491107882,-0.28464160367183855,-1.4365172419980181,0.3708251046689056,-1.018507172768073,-0.37203046831921316,-0.9814924640065122,0.7262064875682318,-0.6095875544008722,-0.723042407986171,-0.581512626045767,0.5050724812220287,-0.18630401920082695,-0.5133091328324705,-0.19162770865635642,0.25184566768635935,-0.000426899626151154,-0.2518456676863582,0.000426899626151154,0.8832553265063607,0.3105066986680449,-0.9300133914412481,0.2372306334263657,-0.2274370537676079,0.47694732938149353,0.041660381163792205,0.5592133985150577
16,0.533,1294.02,849.93,1.0,1312.59,833.95,1.0,1282.11,834.4,0.97,1362.54,840.31,0.99,1276.62,844.63,0.12,1407.73,929.59,1.0,1256.55,937.04,1.0,1477.39,1013.62,0.99,1191.4,1022.08,1.0,1429.76,1095.25,0.99,1236.61,1100.13,1.0,1383.4,1131.21,1.0,1280.83,1131.57,1.0,1509.39,1191.23,1.0,1147.08,1177.01,1.0,1284.38,1224.8,0.99,1341.0,1241.71,0.99,-0.1923261375568343,-1.4209768913701675,-0.09857377177575022,-1.5016534021500125,-0.25245487619187595,-1.4993815354509559,0.15360343181957398,-1.4695443528033412,-0.2801716499203711,-1.447734432492394,0.38174933433154007,-1.0188059997104373,-0.3814969046983117,-0.9811939843593832,0.7334342993455598,-0.594572758106532,-0.710412716795115,-0.5518616641642607,0.49296983073204015,-0.18245613889759713,-0.48216584242985877,-0.15781900669448984,0.25891707480252674,-0.0009087466796219626,-0.25891707480252674,0.0009087466796231105,0.8949892646118335,0.3021077850479324,-0.9341663436889047,0.23031679735773192,-0.2409945708432986,0.47158904079758224,0.04485674582471374,0.5569607427554791
17,0.567,1294.85,850.75,1.0,1313.38,834.55,1.0,1282.74,834.98,0.98,1362.7,839.08,0.99,1276.46,843.57,0.13,1407.09,929.33,1.0,1256.18,937.46,1.0,1476.28,1018.05,0.99,1193.82,1026.63,1.0,1424.68,1099.07,0.99,1239.7,1097.03,1.0,1382.89,1131.28,1.0,1280.19,1131.88,1.0,1510.49,1191.2,1.0,1146.78,1176.12,1.0,1286.46,1225.75,0.99,1339.95,1242.7,0.99,-0.18513003398214053,-1.4170091971437568,-0.09163154584670592,-1.4987509946501805,-0.24623455051317625,-1.4965813049632812,0.15722681545062703,-1.4758935660881987,-0.277922111521839,-1.4532379691249986,0.3812094321981654,-1.020511021337908,-0.380250732103954,-0.9794887488856104,0.7303276401901059,-0.5728485352410024,-0.6949061946039892,-0.5295556573024145,0.4699648777622394,-0.1640386319094952,-0.46340535080184647,-0.1743320434473409,0.25910131493548455,-0.001513736990859462,-0.2591013149354834,0.0015137369908606092,0.9029441150478061,0.3008299979835166,-0.9322601547707886,0.22473948524296866,-0.22746421182651594,0.4751620414308575,0.042435093643767095,0.5606881814144303
18,0.6,1296.42,850.77,1.0,1315.04,834.73,1.0,1284.1,835.0,0.97,1363.43,839.44,0.99,1277.13,843.58,0.14,1407.38,929.8,1.0,1257.61,937.31,1.0,1474.26,1024.92,0.99,1198.28,1032.47,1.0,1417.18,1105.94,0.99,1245.57,1100.76,1.0,1384.18,1132.6,1.0,1282.59,1132.59,1.0,1514.26,1191.7,1.0,1144.56,1173.79,1.0,1276.59,1227.07,0.99,1348.72,1245.86,0.99,-0.18571458232906476,-1.4159072680884286,-0.0921664821541108,-1.4964932791951024,-0.24761106966287008,-1.4951367815019103,0.15094804885910393,-1.4728299305471948,-0.2826288064093478,-1.4520302992515821,0.37175572891760317,-1.018855369225558,-0.38069856556161047,-0.9811246370926949,0.7077652315868269,-0.5409662559794953,-0.6787763734767579,-0.5030345612254189,0.4209915711149474,-0.13391646671124538,-0.44118831454691926,-0.1599411261584135,0.2551974086136854,2.5120327652254693e-05,-0.2551974086136854,-2.5120327651112354e-05,0.908727852800478,0.29694739317082225,-0.9486691737666912,0.2069663795224096,-0.28534180179573304,0.47464859097899254,0.07704404490778362,0.5690507822941049
19,0.633,1297.31,850.69,1.0,1315.28,834.62,1.0,1284.27,835.56,0.98,1361.14,838.01,0.99,1275.14,843.62,0.16,1405.28,933.34,1.0,1255.83,937.31,1.0,1475.13,1027.84,1.0,1197.58,1035.05,1.0,1415.64,1104.46,1.0,1251.51,1104.33,1.0,1384.42,1129.43,1.0,1283.21,1127.55,1.0,1522.37,1193.32,1.0,1143.12,1167.41,1.0,1274.3,1223.21,0.99,1355.6,1247.17,0.99,-0.1889566036258066,-1.4379439662306235,-0.09594057384479744,-1.5211252460626112,-0.25645404538119637,-1.5162596329299376,0.14143923281948112,-1.5035779816798833,-0.30371260697833613,-1.4745395884093513,0.369916002687802,-1.0101323434481864,-0.4036647235654981,-0.9895828922389155,0.7314724679189368,-0.5209829380889576,-0.7051774522657639,-0.4836626501245124,0.42354127083088855,-0.12438370593420392,-0.4260258392390625,-0.1250566098780849,0.2619408006159134,0.004865613132674099,-0.2619408006159134,-0.004865613132674099,0.9759954087567135,0.3355720206289821,-0.9870724429098237,0.20145708842943116,-0.30806060169264116,0.4902881658796426,0.1127631724418068,0.6143095389209882
